Review_Index,Topic_0_%,Topic_1_%,Topic_2_%,Topic_3_%,Topic_4_%,Topic_5_%,Topic_6_%,Topic_7_%,Topic_8_%,Topic_9_%,Topic_10_%,Topic_11_%,Topic_12_%,Topic_13_%,Topic_14_%,Topic_15_%,Topic_16_%,Topic_17_%,Topic_18_%,Topic_19_%
0,0.07677608,0.049358055,0.036828443,0.038813114,0.039569166,80.35329,0.045551922,0.03440949,0.037013568,0.036469463,0.040354192,0.038295966,0.03254709,0.042577717,0.03547325,0.052614085,0.039660044,0.042829048,0.04028373,18.887291
1,0.14493956,35.107452,0.06952553,0.07327224,0.07469952,0.08972965,0.0859939,0.064958975,0.06987501,0.068847835,0.07618151,0.07229595,0.061443098,0.080379136,0.06696716,0.09932599,0.074871086,0.0808536,0.076048486,63.462345
2,0.411358,0.26445526,0.19732292,0.20795658,0.21200742,0.25466496,0.2440624,0.18436241,0.19831479,0.19539954,0.2162135,0.20518573,95.527115,0.22812693,0.19006193,0.2819007,0.21249436,0.22947353,0.21583596,0.32369703
3,0.3416131,0.21961734,0.16386716,0.17269792,0.17606193,0.21148697,0.20268205,0.15310408,0.16469085,0.16226989,0.17955488,46.437725,0.14481738,50.062775,0.15783727,0.23410493,0.1764663,0.19056669,0.17924136,0.26881477
4,0.054083835,0.03476959,0.025943283,0.027341358,0.027873946,0.0334824,0.032088414,0.024239283,0.026073689,0.025690403,0.028426945,0.026977057,0.022927342,0.029993279,0.024988633,0.037063252,0.027937965,0.030170323,99.41737,0.042558476
5,0.08923983,99.0492,0.04280714,0.045114003,0.045992788,0.055246893,0.052946776,0.039995495,0.043022312,0.04238988,0.046905253,0.044512894,0.03783075,0.049489744,0.041231945,0.0611554,0.046098422,0.049781874,0.046823353,0.07022267
6,0.024191543,0.015552339,0.011604356,0.012229711,0.012467936,0.0149765825,0.014353056,0.010842162,0.011662686,0.011491244,0.012715292,0.012066759,0.010255334,1.6437166,0.011177344,0.016578287,0.012496572,0.013495099,98.10909,0.019036284
7,0.09058037,0.058232598,0.04345017,0.045791686,0.046683673,0.056076787,0.053742126,0.04059629,0.04366858,0.043026645,0.047609847,0.04518155,0.038399033,0.05023316,99.018524,0.062074058,0.046790894,0.05052968,0.047526713,0.07127754
8,0.2351809,0.1511939,0.112813115,0.11889258,0.12120851,0.14559661,0.13953492,0.10540336,0.113380186,97.45477,0.12361321,0.11730844,0.09969844,0.13042432,0.108661875,0.16116779,0.121486895,0.1311942,0.123397365,0.1850635
9,0.5653732,0.36346903,0.2712019,0.28581688,0.2913844,0.3500132,0.33544093,0.2533889,0.27256513,0.26855838,0.29716524,0.28200862,0.23967433,93.926285,0.26122236,0.38744617,0.2920536,0.3153899,0.29664636,0.4448913
10,1.2898217,0.8292052,0.6187103,0.65205234,0.66475385,0.7985075,0.7652629,0.57807237,0.6218203,0.6126794,0.6779421,86.07173,0.5467844,0.7152969,0.59594333,0.88390577,0.6662806,0.7195192,0.67675835,1.014959
11,0.3851905,0.24763253,0.18477066,0.19472788,0.19852102,0.23846501,0.2285369,0.1726346,0.18569943,0.18296963,0.20245956,0.19213331,0.16329083,0.21361513,0.17797157,95.91232,0.198977,0.21487607,0.20210603,0.30310574
12,98.432335,0.097872436,0.07302739,0.07696281,0.078461975,0.09424914,0.09032523,0.068230815,0.07339446,0.07231556,0.08001861,0.07593734,0.06453785,0.084427655,0.07034016,0.10432884,0.07864218,0.08492602,0.07987888,0.11979726
13,99.39995,0.037462115,0.027952306,0.029458644,0.030032475,0.036075246,0.03457331,0.026116349,0.028092809,0.027679842,0.030628301,0.029066132,0.024702813,0.03231593,0.02692373,0.039933395,0.030101454,0.032506682,0.03057482,0.045854162
14,0.1012038,0.065062225,0.048546087,0.051162224,0.05215882,0.062653586,0.0600451,0.0453575,98.90546,0.048072893,0.053193618,0.050480522,0.04290254,0.0561246,0.046759713,0.06935422,0.052278616,0.056455895,0.053100735,0.07963709
15,47.340904,0.019072047,0.014230581,0.014997463,0.015289601,0.018365989,0.01760135,0.013295893,0.014302113,2.2844517,4.0259047,41.131428,4.968879,0.016452111,0.013706931,0.020330183,0.015324718,0.016549226,0.015565709,0.023344457
