Bigram,Frequency
nick wilde,236
jason bateman,169
police officer,159
ginnifer goodwin,147
animated films,100
best animated,91
idris elba,86
animated movies,71
try everything,69
chief bogo,63
voice acting,60
even though,59
fox nick,54
really good,53
first rabbit,53
sly fox,51
police force,50
kids adults,50
real world,50
con artist,49
rich moore,46
named nick,46
ive seen,45
byron howard,44
big hero,43
anthropomorphic animals,43
goodwin jason,43
fox named,43
hero 6,42
breaking bad,41
animals live,41
main character,40
well done,39
social commentary,39
animated feature,39
solve case,38
predators prey,38
big city,37
wilde jason,37
predator prey,37
first bunny,37
children adults,36
bunny cop,36
howard rich,36
become police,35
ever seen,34
live together,34
police department,33
artist fox,33
rabbit police,32
buddy cop,32
jenny slate,32
mr big,31
hopps ginnifer,31
jk simmons,30
world animals,30
animation studios,30
good story,29
great story,28
meter maid,28
real life,28
police academy,28
whole family,27
disneys best,27
jared bush,27
go see,27
no matter,26
hopps nick,26
better place,26
named hopps,26
can not,26
work together,26
song try,26
missing otter,26
wreckit ralph,25
best movies,25
talking animals,25
world better,25
best animation,25
tommy chong,25
long time,25
highly recommend,25
dont know,24
first time,24
voice actors,24
dreams becoming,24
well written,24
story line,24
toy story,23
becoming police,23
anyone anything,23
pop culture,23
beautiful animation,22
police officers,22
missing animals,22
prey live,22
adults alike,22
lion king,22
plot twist,21
pretty good,21
