Review_Index,Rating,clean_text
1,8/10,dont know quit well ill tell im big fan animated features blast half thought flash sloth dmv couldnt wind meeting mr big marlon brando godfather bit thought hilarious flash inspired hasnt run someone no sense urgency day couldnt stop laughing also got kick assistant mayor bellwether reminiscent tv show early goes show long reviewer around bad go rogue hit nick wilde savage larger story good messages kiddies chasing dreams no matter detractors might say ill messaging times got bit political understand reviewer backlash board still meaningful theme comes story best expressed line lady gazelle song want try even though could fail good kids trying something new fear embarrassment dont measure responsible adult could go long way help foster message
2,8/10,best recent cgi cartoons much liked movies toy story finding nemo made curious cgi animated movies didnt actually see theaters rent pleasantly surprised everything black white various stereotypes broken things always seem loved main get standing along wreckit ralph big hero 6 favorites nonpixar cgi films anthro animals want see somewhat modern setting no humans look no
3,8/10,didnt expect story great surprisingly shocked great story plot twist pretty good didnt expect also good message diversity really good funny scenes wont forget mention shakira song beautiful btw
4,10/10,next level funny leaves 3d animations plot quality animation script spot could watch thousand times grow bored havent seen stop watch
5,8/10,entertaining adventurous experience young ones relevant message mature ones little bit kindness goes long way would perfect quote hopps country rabbit shoots dreams part police force zootopiazootropolis things werent expected forced face reality truly sound familiar may delivered couple messages people already heard dozens times doesnt take away strength gives believe matters trying things right lives society wasnt expecting find source encouragement inspiration thats delivered true conflict presented also relevant released divide caused unrest among ones working towards improving society small plot use move story along overall overlooked since isnt wits pure strength alone would allow person find solutions problems face lives using cartoons medium convey kind messages also brilliant move part producer creators would good effective learning material parents older people use teach young people way prepare make understand world works brilliant
6,8/10,excellent animation movies wonderful animation definitely surprised expecting another average delighted find quite first animation extremely well done makes enjoyable watch amount details astonishing watching twice punishment plot also surprisingly well thoughtof funny yet dramatic keeps seat also making laugh multiple times although city full anthropomorphic animals dress act humans extremely popular since animation existed believe takes new level really feel everything took years develop environment complex believable animal resemble reallife counterparts remarkably well amazing could produce simple jokes suitable kids yet still silently addressing reallife issues time last definitely recommend whole family deem enjoyable ages
7,10/10,inspiring 3d animation produced walt big city name city contains animal zoo well find many animal course bring characteristics rabbits foxes sheeps wolfs lion sheep rhinoceros others main character bunny know rabbit called hopps ya little rabbit wanted policewoman since child no rabbit police no matter citizen rabbits problem citizen rabbits animals many big strong animals rhinoceros lions appropriate police bunny underestimated every dreaming police even parents problem even must pass many difficulties kept trying trying finally got appreciation best police since could finish mission case found something new 1 animation animation moving smooth another 3d animation drawn well suit characteristic know directly feature even see watch run way turn characteristic good bad vice versa know directly expression children know feature wont confused watching especially change beautiful color still harmony makes gazer children adult able enjoy well 2 score every single sound nice nice dubbing sound effect course sound track sound track try everything shakira representative suits played hopps enjoying journey hometown gazer enjoy picture song 3 plot twist unexpected part mrs bellwether changed bad character beginning good helpful turned mastermind disaster part gives us breaks bit bored think mastermind problem 4 moral value soundtrack reminds us give everything keep trying trying trying everything making something new life problems problems always come leave problem solved another problem come us course thats life facing problem ignore people say dream keep trying prove reaching dream dont afraid fall journey believe impressive watched 2016 senior high school dream difficult time made doubt could reach dream watching cried created advice believe reach want long want try nothing impossible world moreover plot twist reminds us ease believing someone judge book cover almost no lack recommended watching everyone children adult even picture value children havent able understand value enjoy beautiful picture cute moments course song another remind value
9,7/10,animal magic beautiful animation herds lot metaphorical machinations together beginning end important messages whatever want overcome barriers presented no matter worlds societies cultures benefit become better diversity difference working together theyd could ticked climate change box well ignorant beasts
10,10/10,best made ever someone masterpiece created awesome world created mindblowing story good everything awesome
11,7/10,best 3d animation watch family great 3d animations
12,10/10,disneys inspiring movies known best movies made everything deep message teach everyone never give nobody learns without getting wrong
13,7/10,pleasing probably best way describe experience watching first short negative bit crowd critic feels somewhat manufactured said competent aim plot solid curiosity layered striking visuals gorgeous yet rooted wildly entertaining way handling things surrender social artistic stereotypes equally enjoyable young old audiences short rarity definitely recommend youre going great time
14,4/10,lowerrung effort bright bubbly defining characteristics disneys latest animated adventure sanctimonious serious seldom funny key traits family theres little left enjoy multiple ecosystems plethora cultural mirroring society wouldnt know anthropomorphic interesting beautifully animated story told within universe dull simple plot device shouldve subtle metaphors amongst zippy action constant laughs yet films themes breaking stereotypes looking past race inclusive hammered home feels youre getting trouble major issue lack humour accurately successful humour save truly hilarious sequence tears andor persistence shoving point throat muddled tone makes confusing viewing unapologetic innocent nature proceedings suggests aimed toddler demographic yet godfather breaking bad references directly odds infectiously optimistic bunny movies heart hopps ginnifer goodwin sweet likable protagonist however mischievous fox partners hopps nick wilde jason bateman depth charisma lowerrung effort obvious agenda hints brilliance frustratingly falls way short
15,9/10,great surprise hadnt planned seeing feel animated films day mediocre looked kids watched really fine takes issues prejudice cultural diversity city animals live side side predator prey utopia law order necessary little female rabbit male dominated police force put duty meter maid realizes sexism along species attack feisty eventually hooks conman fox least trusted species enlists help solve kidnapping case actually otter process reveals prejudices hurts partner stunning animation intelligent dialogue lots social references good stuff
17,10/10,jewel disneys second renaissance someone enormous fan life films dont much chicken little home range black counts also planes zootropolis may good best classic big four renaissance era however jewel disneys second renaissance return form era starting princess frog counts might studios era planes despite couple issues princess frog still enormously entertaining tangled disneys best since hunchback notre dame sure much popular opinion though even better wreck ralph took title winnie pooh immensely charming sweet problem short frozen despite people say best animated 2013 besides et amount hate gets detractors attitude towards loved even liked blown way big hero 6 fun touching disneys endearing recent years onto review properly zootropolis animation fantastic rich colours vivid beautifully designed colourful backgrounds lovingly designed whose movements flow fluidly never even inventive imaginative set pieces michael giacchinos score cleverly orchestrated energetic catchy good scores ones pixar films inside complements zootropolis well indeed zootropolis smart hilarious writing cleverly balancing sly references witty humour also genuine heart awkward tonal shifts visual gags similarly inventive joy watch story consistently well paced involving told energy charm heart may forget storyline predictable enough originality make matter much also impressive zootropolis dealt heavy wholly relevant themes issues daring along hunchback notre dame deal light touch find message thats easy identify forced heavyhanded wasnt issue viewer incorporated well zootropolis interesting serving point story colourful personalities none felt bland none felt shoehorned none felt annoying none felt unnecessary love charm protagonist twist wasnt surprise villain serve good threat interesting recent twist villains voice acting terrific especially ginnifer goodwin jason bateman cant go wrong idris elba jk simmons maurice lamarche either small exception forgettable slightly main song shakira enough bring personally zootropolis superb disneys films also best towards top end animated ranking 1010
18,10/10,surprisingly great story thought going annoying furry much greatest animated flicks date enjoyable funny really smart enjoyed main even cared also really liked premise simple easy grip disneys best
19,9/10,fun family powerful message super cute fun whole family enjoy urban setting multiple unlike anything done sweet likeable little bit predictable entire obvious theme antiracism think creative interesting ways tell story everything setting contributes real life comparison racism honestly works well dont even mind entire felt slightly present day iphones technology way set telling story racism present day give decades go classic guaranteed biggest complaint villain end no sign anything bellwether would villain felt thrown last minute give evil mastermind behind work intentions line still feel little weak since honestly prey animal could say intentions line something job assistant mayor would interesting exceptionally good overall recommend anyone
20,7/10,perfectly fine uninspired cute animated great relevant message harm inherent profiling others based preconceived beliefs doesnt visual dazzle narrative emotional best animated films ive seen walle toy story 3 mostly enjoyed modest kids 5 7 liked didnt wow seemed forget pretty quickly leaving theater funniest part segment set dmv run sloths since scene entirety shown trailers year ago effect already seen nothing else rises comedic heights moment grade b
21,10/10,best best cute smart rabbit hopps ambitious intelligentshe wants become police officer no bunnies ever became police officers animal world strong enough doesnt care people animals think wants overcome prejudice bigotry rabbit small weak animal thus fit become police officer shes determined make dream come true unfortunately hershe faces problems caught convicted fox already committed crime gave option help avoid jail imprisonment definitely help finding missing animals result fox bunny become friends intelligence amazing bunny cleverly tamed sly fox attracted good refrain evil especially fell love yummy bunny best best spectacular cinematographyimpressive storyenchanting music stunning acting
