Unigram,Frequency
good,702
great,679
story,671
animals,648
animation,610
animated,599
nick,575
world,546
really,515
well,480
also,480
best,466
even,462
fox,437
hopps,416
kids,411
police,404
movies,381
message,375
would,356
city,354
see,353
first,352
much,339
bunny,339
way,337
films,331
people,331
watch,314
time,308
plot,303
many,303
rabbit,302
love,302
no,301
funny,299
character,287
fun,280
wilde,279
big,272
make,265
get,264
dont,262
adults,257
animal,253
think,243
predators,241
children,240
still,237
could,220
officer,220
made,218
lot,216
something,215
little,214
ever,213
case,212
cop,212
different,210
us,208
seen,207
every,206
everything,199
better,198
never,196
prejudice,196
go,195
say,194
society,191
going,191
bateman,189
life,187
real,187
together,186
though,184
amazing,182
jason,182
goodwin,181
makes,179
however,179
voice,179
another,178
end,176
scene,175
two,175
everyone,173
family,172
humor,172
work,171
want,170
try,170
perfect,169
new,166
become,165
live,165
cute,161
main,158
doesnt,158
feel,157
disneys,157
